index,ppt,trial,stimulus_left,stimulus_right,reward_left,reward_right,responses,feedback
686,8,15,2,1,1,0,1,1
687,8,16,4,1,1,0,1,1
688,8,17,1,2,0,0,2,0
689,8,18,1,4,0,1,2,1
690,8,19,4,3,1,0,1,1
691,8,20,2,3,0,1,1,0
692,8,21,4,1,1,0,1,1
693,8,22,2,3,0,0,1,0
694,8,23,2,1,0,0,1,0
695,8,24,1,4,0,1,2,1
696,8,25,3,2,0,1,2,1
697,8,26,2,3,0,0,2,0
698,8,27,3,1,0,0,2,0
699,8,28,1,2,1,1,1,1
700,8,29,4,1,1,1,1,1
701,8,30,2,1,0,0,2,0
702,8,31,1,2,0,1,1,0
703,8,32,4,1,0,1,1,0
704,8,33,3,4,0,1,2,1
705,8,34,3,2,1,0,2,0
706,8,35,2,4,1,1,2,1
707,8,36,2,3,1,1,2,1
708,8,37,3,2,1,0,1,1
709,8,38,4,1,1,0,2,0
710,8,39,3,4,1,1,2,1
711,8,40,1,3,0,1,2,1
712,8,41,4,2,1,0,1,1
713,8,42,4,1,1,0,1,1
714,8,43,4,3,0,1,2,1
715,8,44,3,4,1,1,1,1
716,8,45,1,3,0,1,2,1
717,8,46,3,1,1,1,1,1
718,8,47,3,1,1,0,1,1
719,8,48,1,2,0,1,2,1
720,8,49,2,4,0,1,1,0
721,8,50,2,3,1,1,2,1
722,8,51,2,3,0,0,2,0
723,8,52,2,1,0,0,2,0
724,8,53,1,3,0,0,2,0
725,8,54,1,4,0,1,2,1
726,8,55,2,1,0,0,1,0
727,8,56,1,3,1,0,2,0
728,8,57,4,2,1,1,1,1
729,8,58,3,4,0,1,2,1
730,8,59,2,4,0,1,2,1
731,8,60,2,4,0,1,2,1
732,8,61,1,4,0,1,1,0
733,8,62,1,4,0,1,2,1
734,8,63,4,2,1,0,1,1
735,8,64,4,1,1,1,1,1
736,8,65,1,3,0,1,1,0
737,8,66,4,3,0,1,1,0
738,8,67,3,2,0,0,2,0
739,8,68,2,1,0,0,1,0
740,8,69,3,2,0,1,2,1
741,8,70,3,2,0,0,1,0
742,8,71,2,4,1,1,2,1
743,8,72,2,4,0,1,2,1
744,8,73,4,1,0,1,1,0
745,8,74,1,2,0,0,2,0
746,8,75,1,4,0,1,2,1
