,trial,activation_0,activation_1,policy_0,policy_1,response,reward,error_0,error_1,error_2,error_3,values_0,values_1,values_2,values_3,dependent,ppt
14,15,0.9627593909700038,0.0,0.9999992535077318,7.464922682688216e-07,0,1.0,0.0,0.02088107353026488,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,7.464922682688216e-07,1
15,16,0.8370757205676281,0.0,0.9999952916252172,4.7083747828582425e-06,0,1.0,0.09135279865999363,0.0,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,4.7083747828582425e-06,1
16,17,0.9284285192276218,0.7164447417828782,0.9571528112255172,0.04284718877448281,0,1.0,0.04013063673244987,0.0,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.04284718877448281,1
17,18,0.0,0.7164447417828782,2.7577400978224962e-05,0.9999724225990217,1,1.0,0.0,0.0,0.15899144377461263,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.9999724225990217,1
18,19,0.9836404645002688,0.8754361855574908,0.829993467193366,0.17000653280663403,1,1.0,0.0,0.009172907548738386,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.17000653280663403,1
19,20,0.8754361855574908,0.9685591559600717,0.2034960202606223,0.7965039797393777,1,1.0,0.017629104178251434,0.0,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.7965039797393777,1
20,21,0.0,0.9928133720490071,4.8057670785887e-07,0.9999995194232921,1,1.0,0.0,0.004029593247480653,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.9999995194232921,1
21,22,0.9968429652964877,0.0,0.9999995469788179,4.530211821737861e-07,0,1.0,0.0,0.0017701717425872108,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,4.530211821737861e-07,1
22,23,0.0,0.8754361855574908,2.683780277880126e-06,0.9999973162197221,1,1.0,0.0,0.0,0.0698438139529152,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.9999973162197221,1
23,24,0.945279999510406,0.9861882601383232,0.3544688915430291,0.6455311084569709,1,1.0,0.007744340469842047,0.0,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.6455311084569709,1
24,25,0.998613137039075,0.0,0.9999995585787973,4.4142120264744177e-07,0,1.0,0.0,0.0007776238954672069,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,4.4142120264744177e-07,1
25,26,0.9939326006081652,0.0,0.9999995272408082,4.7275919180403e-07,0,1.0,0.0034020338586927545,0.0,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,4.7275919180403e-07,1
26,27,0.997334634466858,0.9993907609345422,0.4924681620393878,0.5075318379606123,0,1.0,0.0,0.0003416046636908729,0.0,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.5075318379606123,1
27,28,0.0,0.945279999510406,9.644141797631194e-07,0.9999990355858203,1,0.0,-0.0,-0.0,-0.5300251980456824,0.0,0.9941991563612388,0.3682357804581298,0.06098886278199139,0.5607070903014992,0.9999990355858203,1
