,trial,activation_0,activation_1,policy_0,policy_1,response,reward,error_0,error_1,error_2,error_3,values_0,values_1,values_2,values_3,dependent,ppt
19,20,0.8754361627339129,0.9685591434552417,0.20349595457779487,0.7965040454222051,1,1.0,0.0176291097128264,0.0,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.7965040454222051,1
20,21,0.0,0.9928133674379533,4.805754387936389e-07,0.9999995194245612,1,1.0,0.0,0.004029595495330528,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.9999995194245612,1
21,22,0.9968429629332839,0.0,0.999999546980034,4.530199659729848e-07,0,1.0,0.0,0.001770172919346775,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,4.530199659729848e-07,1
22,23,0.0,0.8754361627339129,2.6837747663635755e-06,0.9999973162252337,1,1.0,0.0,0.0,0.06984382089872188,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.9999973162252337,1
23,24,0.9452799836326348,0.9861882531680681,0.35446883614088015,0.6455311638591199,1,1.0,0.007744343729290138,0.0,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.6455311638591199,1
24,25,0.9986131358526307,0.0,0.9999995585799921,4.414200078451691e-07,0,1.0,0.0,0.0007776244955653223,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,4.414200078451691e-07,1
25,26,0.9939325968973582,0.0,0.9999995272420643,4.7275793570266675e-07,0,1.0,0.0034020356543450277,0.0,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,4.7275793570266675e-07,1
26,27,0.9973346325517033,0.999390760348196,0.4924681557706342,0.5075318442293657,0,1.0,0.0,0.0003416049638395796,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.5075318442293657,1
27,28,0.0,0.9452799836326348,9.64411917296473e-07,0.9999990355880827,1,0.0,-0.0,-0.0,-0.5300251447372453,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.9999990355880827,1
28,29,0.9973346325517033,0.9997323653120356,0.4912170546559211,0.5087829453440789,0,1.0,0.0014944903013099538,0.0,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.5087829453440789,1
29,30,0.0,0.4152548388953895,0.0022716499718709623,0.997728350028129,1,0.0,-0.0,-0.0,-0.2328363129435588,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.997728350028129,1
30,31,0.0,0.9997323653120356,4.3423944444116186e-07,0.9999995657605556,1,0.0,-0.0,-0.5605569786707231,-0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.9999995657605556,1
31,32,0.1824185259518307,0.4391753866413125,0.022700414645077868,0.9772995853549221,1,0.0,-0.0,-0.24624873254489704,-0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.9772995853549221,1
32,33,0.19292665409641546,0.0,0.9441211375415342,0.05587886245846585,0,1.0,0.0,0.45253170952825833,0.0,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.05587886245846585,1
33,34,0.1824185259518307,0.0,0.9354197360157108,0.06458026398428918,0,0.0,-0.0,-0.0,-0.10228335233421101,0.0,0.9941991529348739,0.3682358071016531,0.060988880698905026,0.5607070433253029,0.06458026398428918,1
