ppt,trial,block,stake,s1,s2,choice,stimuli_left,stimuli_right,points,rews_1,rews_2,rt_1,rt_2,timeout_1,timeout_2,missed,score
114,62,2,1,1,2,1,2,1,0.888889,0.111111,0.888889,1.14407,0.541973,0,0,0,90
114,63,2,5,2,2,3,3,4,1,0,1,0.974022,0.629031,0,0,0,95
114,64,2,5,1,2,1,1,2,0.777778,0.222222,0.777778,0.611925,0.472496,0,0,0,98.8889
114,65,2,5,1,2,1,2,1,0.444444,0.222222,0.444444,0.402925,0.35479,0,0,0,101.111
114,66,2,5,1,2,1,1,2,0.444444,0.333333,0.444444,0.732521,0.628043,0,0,0,103.333
114,67,2,5,2,2,3,4,3,0.666667,0.333333,0.666667,0.705877,0.628138,0,0,0,106.667
114,68,2,1,1,2,1,1,2,0.777778,0.222222,0.777778,0.81006,0.952485,0,0,0,107.444
114,69,2,1,2,2,3,4,3,0.666667,0.555556,0.666667,0.736824,0.290718,0,0,0,108.111
114,70,3,1,2,2,3,3,4,0.444444,0.666667,0.444444,0.982781,0.394749,0,0,0,108.556
114,71,3,5,1,1,2,2,1,0.888889,0.888889,0.666667,1.37926,0.479657,0,0,0,113
114,72,3,1,2,1,4,4,3,0.666667,0.666667,0.444444,0.722953,0.523832,0,0,0,113.667
114,73,3,5,2,1,4,3,4,0.666667,0.666667,0.777778,0.756957,0.434145,0,0,0,117
114,74,3,5,2,1,4,3,4,0.555556,0.555556,0.666667,0.525715,0.610725,0,0,0,119.778
114,75,3,1,2,1,4,3,4,0.666667,0.666667,0.555556,0.664965,0.567486,0,0,0,120.444
114,76,3,1,2,1,4,3,4,0.888889,0.888889,0.555556,0.426268,0.426184,0,0,0,121.333
114,77,3,5,1,2,1,1,2,0.333333,1,0.333333,0.747709,0.460624,0,0,0,123
114,78,3,5,2,1,4,4,3,0.666667,0.666667,0.222222,0.869278,0.950861,0,0,0,126.333
114,79,3,1,1,2,1,2,1,0.888889,0.777778,0.888889,1.10704,0.297208,0,0,0,127.222
114,80,3,5,1,2,1,1,2,0.444444,0.777778,0.444444,0.811141,0.355469,0,0,0,129.444
114,81,3,1,2,1,4,4,3,0.555556,0.555556,0.666667,0.561724,0.298985,0,0,0,130
114,82,3,1,1,1,2,1,2,0.666667,0.666667,0.777778,0.852409,0.564068,0,0,0,130.667
114,83,3,1,2,1,4,4,3,0.666667,0.666667,0.333333,0.94508,1.04563,0,0,0,131.333
114,84,3,1,2,1,4,4,3,0.666667,0.666667,0.555556,0.597655,0.404131,0,0,0,132
114,85,3,5,2,1,4,4,3,0.777778,0.777778,0.444444,0.595712,0.371124,0,0,0,135.889
114,86,3,5,1,2,1,2,1,0.777778,0.888889,0.777778,0.778845,0.265713,0,0,0,139.778
114,87,3,5,2,1,4,4,3,0.777778,0.777778,0.888889,0.330351,1.2504,0,0,0,143.667
114,88,3,1,1,1,2,1,2,0.666667,0.666667,0.888889,0.914254,0.371756,0,0,0,144.333
114,89,3,1,1,1,2,2,1,0.555556,0.555556,0.666667,0.611976,0.50925,0,0,0,144.889
114,90,3,5,1,1,2,1,2,0.666667,0.666667,0.555556,0.878882,0.31079,0,0,0,148.222
114,91,3,5,1,1,2,1,2,0.666667,0.666667,0.222222,0.830395,0.327573,0,0,0,151.556
114,92,3,5,2,1,4,4,3,1,1,0.222222,1.04602,0.429369,0,0,0,156.556
114,93,3,5,2,1,4,4,3,0.888889,0.888889,0.666667,0.694756,1.51444,0,0,0,161
114,94,3,1,1,1,2,1,2,0.888889,0.888889,0.888889,0.730237,0.292517,0,0,0,161.889
114,95,3,5,2,1,4,4,3,0.777778,0.777778,0.888889,0.701631,0.32366,0,0,0,165.778
114,96,3,1,1,1,2,1,2,0.555556,0.555556,0.333333,0.707536,0.664243,0,0,0,166.333
114,97,3,1,1,1,2,1,2,0.333333,0.333333,0.222222,0.583424,0.628219,0,0,0,166.667
114,98,3,5,2,1,4,3,4,0.444444,0.444444,0.111111,0.414437,0.407759,0,0,0,168.889
114,99,3,5,1,1,2,2,1,0.777778,0.777778,0.111111,0.636112,0.470813,0,0,0,172.778
114,100,3,1,1,1,2,2,1,0.888889,0.888889,0.333333,0.617048,0.451858,0,0,0,173.667
114,101,3,5,2,1,4,3,4,0.888889,0.888889,0.222222,0.340617,0.443077,0,0,0,178.111
114,102,3,5,1,1,2,1,2,0.555556,0.555556,0.111111,0.96176,0.385786,0,0,0,180.889
114,103,3,1,2,1,4,4,3,0.888889,0.888889,0,0.938464,0.410185,0,0,0,181.778
114,104,3,5,2,1,4,4,3,0.888889,0.888889,0.222222,1.22155,0.291097,0,0,0,186.222
114,105,4,1,1,1,2,2,1,0.666667,0.666667,0.444444,0.750034,0.671095,0,0,0,186.889
