"participant","signal","stimulus_intensity","response","confidence","accuracy"
"7",1,22,1,69,1
"7",0,18,0,80,1
"7",0,18,0,68,1
"7",0,14,0,39,1
"7",0,14,0,67,1
"7",1,10,0,49,0
"7",1,14,1,48,1
"7",0,14,0,56,1
"7",0,10,0,43,1
"7",1,10,1,70,1
"7",0,6,0,61,1
"7",1,6,1,65,1
"7",1,2,0,29,0
"7",1,6,0,35,0
"7",1,10,1,68,1
"7",0,10,0,63,1
"7",0,6,0,65,1
"7",0,6,0,50,1
"7",0,2,0,42,1
"7",0,2,0,53,1
"7",1,2,1,35,1
"7",1,2,0,64,0
"7",1,6,1,58,1
"7",1,6,1,33,1
"7",0,2,0,83,1
"7",1,2,0,52,0
"7",1,6,1,83,1
"7",0,6,1,50,0
"7",1,10,0,49,0
"7",1,14,1,17,1
"7",1,14,0,55,0
"7",1,18,1,38,1
"7",0,18,1,8,0
"7",0,22,0,57,1
"7",1,22,1,6,1
"7",0,18,0,70,1
"7",1,18,0,37,0
"7",1,22,1,39,1
"7",0,22,0,76,1
"7",0,18,0,66,1
"7",1,18,1,73,1
"7",1,14,1,76,1
"7",0,14,0,46,1
"7",1,10,1,19,1
"7",1,10,1,38,1
"8",0,2,1,32,0
"8",0,6,0,65,1
"8",0,6,1,46,0
"8",1,10,1,46,1
"8",0,10,0,65,1
"8",1,6,0,61,0
"8",0,10,0,52,1
"8",0,10,0,65,1
"8",0,6,0,63,1
"8",1,6,1,50,1
"8",1,2,1,53,1
"8",1,2,1,51,1
"8",0,2,1,31,0
"8",1,6,1,40,1
"8",0,6,0,44,1
"8",1,2,0,42,0
"8",0,6,1,63,0
"8",0,10,0,43,1
"8",1,10,1,48,1
"8",1,6,1,52,1
"8",1,6,1,70,1
"8",0,2,0,48,1
"8",1,2,0,58,0
"8",0,6,0,43,1
"8",0,6,1,49,0
"8",0,10,0,57,1
"8",0,10,0,55,1
"8",0,6,0,52,1
"8",0,6,0,56,1
"8",0,2,0,48,1
"8",0,2,0,49,1
"8",1,2,1,49,1
"8",1,2,0,41,0
"8",0,6,0,49,1
